stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,Emu,Estd
2303,2891,model3,-0.4586873751513384,0.5413126248486617,0.12107595774103508,0.3816045756838062,0.19415999999999967,0.3066876489005509,0.0013769800235391568,-0.7324822609509466,0.3068873243572629,0.0012309055473010522
2303,2892,model3,-0.4347015258408691,0.5652984741591308,0.10627169828425012,0.7819828002605678,0.1639333333333333,0.4249322935382349,0.0010791743206727932,-0.26575995229494315,0.4249934329779011,0.0010311329729549188
2303,5880,model3,-0.37907807606352667,0.6209219239364733,0.06869462674005615,0.6611716250561542,0.21414666666666668,0.6588851188698399,0.0011773168081674233,-0.20337194063453956,0.6589899904190294,0.001109213086709959
2303,6505,model3,-0.5643380285977246,0.43566197140227536,0.2124436576510708,0.4511220152447157,0.08116000000000005,0.4664927938222975,0.0012119427091161524,0.8043576783131301,0.4665452349364913,0.0011880841850787317
2303,2049,model3,-0.6411427228545012,0.3588572771454988,0.07600708568982148,0.25490623856323474,0.07534666666666669,0.11160994465449477,0.0016165643644046586,-0.5378886694941234,0.11175249823164497,0.0015892919968147463
2303,2313,model3,-0.3090680385675966,0.6909319614324033,0.052877599880338286,0.947423653386062,0.24588000000000024,1.2495460840351202,0.001029614710213392,0.06263864935609728,1.2496622495769931,0.0010311566468235737
2303,2915,model3,-0.5501401904847972,0.4498598095152028,0.08838439044935817,0.340080986399136,0.0724133333333334,0.3979138042512481,0.0012925317844521304,-0.07452862346588149,0.39815009149965164,0.0012072708969328146
2303,3034,model3,-0.5816989167293523,0.4183010832706476,0.08279938446627817,0.5689703910896995,0.15237333333333325,0.5588436826221671,0.001409874824806285,-0.9812369073278892,0.5589531107876615,0.0013696078913023305
2303,3037,model3,-0.8075450313897777,0.19245496861022215,0.006728923737084648,0.12050916328881665,0.02822666666666645,-1.5457634053902576,0.00271490769379656,-0.4194029081692875,-1.545521512119927,0.002696455828310561
2303,6285,model3,-0.6425349610109916,0.35746503898900844,0.09959583777429026,0.6201575622136034,0.09170666666666663,-0.05512496584614621,0.0012819806207334122,-0.3892595993461331,-0.0550983331454092,0.001281893035953789
